objectid,dc_key,dispatch_date,hour,location_block,dc_dist,ucr_general,text_general_code,latitude,longitude
36303967,202525032452,NA,22,200 BLOCK W MENTOR ST,25,100,Homicide - Criminal,40.022845763328,-75.128227782318
36303981,202522001623,NA,17,2600 BLOCK N 27TH ST,22,100,Homicide - Criminal,39.995131083479,-75.175947792235
36304033,202503006939,NA,15,2000 BLOCK S 5TH ST,03,100,Homicide - Criminal,39.923630084498,-75.154881433887
36304046,202526035385,NA,14,2400 BLOCK N REESE ST,26,100,Homicide - Criminal,39.987669885422,-75.14192366119
36304069,202525080781,NA,2,3500 BLOCK N WARNOCK ST,25,100,Homicide - Criminal,40.005489774894,-75.145982870397
36304075,202517033625,NA,1,1000 BLOCK S 18TH ST,17,100,Homicide - Criminal,39.939812079354,-75.172989445146
36304108,202522074234,NA,0,1900 BLOCK N 31ST ST,22,100,Homicide - Criminal,39.985293841546,-75.184520729539
36304128,202539030341,NA,6,2100 BLOCK W CAMBRIA ST,39,100,Homicide - Criminal,NA,NA
36304193,202535044105,NA,5,5000 BLOCK N FRANKLIN ST,35,100,Homicide - Criminal,40.027890944761,-75.136825072836
36304201,202515058487,NA,7,6900 BLOCK TORRESDALE AV,15,100,Homicide - Criminal,40.026023215416,-75.043232020111
36304223,202512007465,NA,3,6000 BLOCK ALLMAN ST,12,100,Homicide - Criminal,39.932874948814,-75.230731352969
36304234,202324067507,NA,20,800 BLOCK E WESTMORELAND ST,24,100,Homicide - Criminal,39.998283459349,-75.115044741523
36304250,202507035781,NA,0,800 BLOCK EMERSON ST,07,100,Homicide - Criminal,40.076830892162,-75.074746055789
36304276,202503009225,NA,15,0 BLOCK RITNER ST,03,100,Homicide - Criminal,NA,NA
36304280,202502059613,NA,19,7200 BLOCK OXFORD AVE,02,100,Homicide - Criminal,40.058969036132,-75.085018515563
36304293,202512093323,NA,5,1100 BLOCK S 54TH ST,12,100,Homicide - Criminal,39.944053010362,-75.228190954324
36304336,202509062283,NA,22,800 BLOCK LEMON HILL DR,09,100,Homicide - Criminal,NA,NA
36304337,202526022344,NA,21,2400 BLOCK N MARSHALL ST,26,100,Homicide - Criminal,39.987940050129,-75.144060858394
36304340,202522041817,NA,5,2500 BLOCK N CORLIES ST,22,100,Homicide - Criminal,39.99431203796,-75.181496374426
36304341,202522041817,NA,5,2500 BLOCK N CORLIES ST,22,100,Homicide - Criminal,39.99431203796,-75.181496374426
36304342,202522041817,NA,5,2500 BLOCK N CORLIES ST,22,100,Homicide - Criminal,39.99431203796,-75.181496374426
36304345,202514036970,NA,13,1500 BLOCK E PASTORIUS ST,14,100,Homicide - Criminal,40.058403201621,-75.161134668636
36304361,202512068922,NA,15,7100 BLOCK BRANT PL,12,100,Homicide - Criminal,39.911131130249,-75.234218861969
36304364,202525006317,NA,16,3000 BLOCK N LEITHGOW ST,25,100,Homicide - Criminal,39.996543942006,-75.137869062777
36304382,202517020786,NA,21,2600 BLOCK LATONA ST,17,100,Homicide - Criminal,39.937363820451,-75.18725419663
36304391,202535017979,NA,18,1000 BLOCK WAGNER AV,35,100,Homicide - Criminal,40.035241471884,-75.138769956246
36304420,202518021775,NA,21,5900 BLOCK LUDLOW ST,18,100,Homicide - Criminal,39.960898396138,-75.239030812543
36304430,202535065026,NA,0,2100 BLOCK CONLYN ST,35,100,Homicide - Criminal,40.042772968068,-75.15721301197
36304434,202512067499,NA,15,2200 BLOCK S FELTON ST,12,100,Homicide - Criminal,39.927709041825,-75.23114364154
36304435,202512045508,NA,17,2200 BLOCK S FELTON ST,12,100,Homicide - Criminal,39.927709041825,-75.23114364154
36304453,202524024576,NA,23,1800 BLOCK E SOMERSET ST,24,100,Homicide - Criminal,39.991349430384,-75.122577715519
36304454,202524060802,NA,8,1800 BLOCK E CAMBRIA ST,24,100,Homicide - Criminal,39.992195511231,-75.119963746057
